Province/State
Country/Region,Germany
Lat,51.0
Long,9.0
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,1
2/14/20,1
2/15/20,1
2/16/20,1
2/17/20,1
2/18/20,12
2/19/20,12
2/20/20,12
2/21/20,14
2/22/20,14
2/23/20,14
2/24/20,14
2/25/20,14
2/26/20,15
2/27/20,16
2/28/20,16
2/29/20,16
3/1/20,16
3/2/20,16
3/3/20,16
3/4/20,16
3/5/20,16
3/6/20,17
3/7/20,18
3/8/20,18
3/9/20,18
3/10/20,18
3/11/20,25
3/12/20,25
3/13/20,46
3/14/20,46
3/15/20,46
3/16/20,67
3/17/20,67
3/18/20,105
3/19/20,113
3/20/20,180
3/21/20,233
3/22/20,266
3/23/20,266
3/24/20,3243
3/25/20,3547
3/26/20,5673
3/27/20,6658
3/28/20,8481
3/29/20,9211
3/30/20,13500
3/31/20,16100
4/1/20,18700
4/2/20,22440
4/3/20,24575
4/4/20,26400
4/5/20,28700
4/6/20,28700
4/7/20,36081
4/8/20,46300
4/9/20,52407
4/10/20,53913
4/11/20,57400
4/12/20,60300
4/13/20,64300
