Province/State
Country/Region,United Kingdom
Lat,55.3781
Long,-3.4360000000000004
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,2
2/1/20,2
2/2/20,2
2/3/20,2
2/4/20,2
2/5/20,2
2/6/20,2
2/7/20,3
2/8/20,3
2/9/20,3
2/10/20,8
2/11/20,8
2/12/20,9
2/13/20,9
2/14/20,9
2/15/20,9
2/16/20,9
2/17/20,9
2/18/20,9
2/19/20,9
2/20/20,9
2/21/20,9
2/22/20,9
2/23/20,9
2/24/20,13
2/25/20,13
2/26/20,13
2/27/20,15
2/28/20,20
2/29/20,23
3/1/20,36
3/2/20,40
3/3/20,51
3/4/20,85
3/5/20,115
3/6/20,163
3/7/20,206
3/8/20,273
3/9/20,321
3/10/20,382
3/11/20,456
3/12/20,456
3/13/20,798
3/14/20,1140
3/15/20,1140
3/16/20,1543
3/17/20,1950
3/18/20,2626
3/19/20,2689
3/20/20,3983
3/21/20,5018
3/22/20,5683
3/23/20,6650
3/24/20,8077
3/25/20,9529
3/26/20,11658
3/27/20,14543
3/28/20,17089
3/29/20,19522
3/30/20,22141
3/31/20,25150
4/1/20,29474
4/2/20,33718
4/3/20,38168
4/4/20,41903
4/5/20,47806
4/6/20,51608
4/7/20,55242
4/8/20,60733
